id,ciudad,provincia,pais
321,Tibasosa,Boyacá,Colombia
322,Tinjacá,Boyacá,Colombia
323,Tipacoque,Boyacá,Colombia
324,Toca,Boyacá,Colombia
325,Togüí,Boyacá,Colombia
326,Tópaga,Boyacá,Colombia
327,Tota,Boyacá,Colombia
328,Tunja,Boyacá,Colombia
329,Tununguá,Boyacá,Colombia
330,Turmequé,Boyacá,Colombia
331,Tuta,Boyacá,Colombia
332,Tutazá,Boyacá,Colombia
333,Umbita,Boyacá,Colombia
334,Ventaquemada,Boyacá,Colombia
335,Villa de Leyva,Boyacá,Colombia
336,Viracachá,Boyacá,Colombia
337,Zetaquira,Boyacá,Colombia
338,Aguadas,Caldas,Colombia
339,Anserma,Caldas,Colombia
340,Aranzazu,Caldas,Colombia
341,Belalcázar,Caldas,Colombia
342,Chinchiná,Caldas,Colombia
343,Filadelfia,Caldas,Colombia
344,La Dorada,Caldas,Colombia
345,La Merced,Caldas,Colombia
346,Manizales,Caldas,Colombia
347,Manzanares,Caldas,Colombia
348,Marmato,Caldas,Colombia
349,Marquetalia,Caldas,Colombia
350,Marulanda,Caldas,Colombia
351,Neira,Caldas,Colombia
352,Norcasia,Caldas,Colombia
353,Pácora,Caldas,Colombia
354,Palestina,Caldas,Colombia
355,Pensilvania,Caldas,Colombia
356,Riosucio,Caldas,Colombia
357,Risaralda,Caldas,Colombia
358,Salamina,Caldas,Colombia
359,Samaná,Caldas,Colombia
360,San José,Caldas,Colombia
361,Supía,Caldas,Colombia
362,Victoria,Caldas,Colombia
363,Villamaría,Caldas,Colombia
364,Viterbo,Caldas,Colombia
365,Albania,Caquetá,Colombia
366,Belén de Los Andaquies,Caquetá,Colombia
367,Cartagena del Chairá,Caquetá,Colombia
368,Curillo,Caquetá,Colombia
369,El Doncello,Caquetá,Colombia
370,El Paujil,Caquetá,Colombia
371,Florencia,Caquetá,Colombia
372,La Montañita,Caquetá,Colombia
373,Milán,Caquetá,Colombia
374,Morelia,Caquetá,Colombia
375,Puerto Rico,Caquetá,Colombia
376,San José del Fragua,Caquetá,Colombia
377,San Vicente del Caguán,Caquetá,Colombia
378,Solano,Caquetá,Colombia
379,Solita,Caquetá,Colombia
380,Valparaíso,Caquetá,Colombia
381,Aguazul,Casanare,Colombia
382,Chameza,Casanare,Colombia
383,Hato Corozal,Casanare,Colombia
384,La Salina,Casanare,Colombia
385,Maní,Casanare,Colombia
386,Monterrey,Casanare,Colombia
387,Nunchía,Casanare,Colombia
388,Orocué,Casanare,Colombia
389,Paz de Ariporo,Casanare,Colombia
390,Pore,Casanare,Colombia
391,Recetor,Casanare,Colombia
392,Sabanalarga,Casanare,Colombia
393,Sácama,Casanare,Colombia
394,San Luis de Palenque,Casanare,Colombia
395,Támara,Casanare,Colombia
396,Tauramena,Casanare,Colombia
397,Trinidad,Casanare,Colombia
398,Villanueva,Casanare,Colombia
